City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,qaqortoq,60.7167,-46.0333,2.88,64,1,1.83,GL,1698088968
217,hawaiian paradise park,19.5933,-154.9731,28.26,81,0,0.89,US,1698088968
218,san felice circeo,41.2372,13.0942,19.63,98,100,2.95,IT,1698088968
219,bamboo flat,11.7,92.7167,25.05,94,20,0.51,IN,1698088968
220,hithadhoo,-0.6,73.0833,26.9,77,28,3.49,MV,1698088969
221,phan rang-thap cham,11.5667,108.9833,24.31,90,100,1.41,VN,1698088969
222,lycksele,64.5954,18.6735,-4.07,86,100,1.54,SE,1698088969
223,pavlovka,52.6897,47.1405,8.46,94,76,6.3,RU,1698088969
224,figueres,42.2664,2.9616,21.52,68,95,1.7,ES,1698088969
225,avarua,-21.2078,-159.775,25.03,94,75,2.06,CK,1698088969
226,carnarvon,-24.8667,113.6333,19.77,67,98,6.75,AU,1698088970
227,pizarro,4.9533,-77.366,28.14,80,100,3.45,CO,1698088970
228,tazovsky,67.4667,78.7,-3.77,95,69,2.56,RU,1698088970
229,zavodskoy,43.4597,132.2922,-1.23,100,100,2.0,RU,1698088970
230,zag,46.9441,99.165,1.7,53,97,1.69,MN,1698088970
231,atafu village,-8.5421,-172.5159,28.24,74,99,4.47,TK,1698088970
232,dul'durga,50.6761,113.5931,1.83,44,31,1.06,RU,1698088970
233,rock springs,41.5875,-109.2029,18.69,29,0,5.66,US,1698088971
234,gweru,-19.45,29.8167,19.82,74,19,3.15,ZW,1698088971
235,puerto armuelles,8.2833,-82.8667,29.99,72,99,2.24,PA,1698088895
236,sault ste. marie,46.5168,-84.3333,11.16,66,100,4.12,CA,1698088854
237,west island,-12.1568,96.8225,24.99,78,75,4.63,CC,1698088971
238,ha'il,27.5219,41.6907,26.01,34,75,6.17,SA,1698088971
239,san vicente de canete,-13.0751,-76.3835,22.36,76,49,4.56,PE,1698088971
240,berezovyy,51.6667,135.7,-0.41,67,23,1.67,RU,1698088971
241,tikhvin,59.6451,33.5294,0.12,89,100,2.03,RU,1698088972
242,spring creek,40.7266,-115.5859,14.9,45,14,2.29,US,1698088972
243,texistepec,17.8833,-94.7833,28.0,68,64,1.6,MX,1698088972
244,vorkuta,67.5,64.0,-7.97,97,100,2.34,RU,1698088972
245,saint-pierre,-21.3393,55.4781,23.82,73,0,1.54,RE,1698088972
246,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,100,40,1.0,RU,1698088972
247,barra de santo antonio,-9.4047,-35.5072,28.6,63,0,4.13,BR,1698088973
248,hami,42.8,93.45,13.54,24,76,1.45,CN,1698088973
249,juan griego,11.0817,-63.9655,30.39,66,31,2.77,VE,1698088973
250,bilibino,68.0546,166.4372,-12.86,96,98,1.15,RU,1698088973
251,"laikit, laikit ii (dimembe)",1.4792,124.9735,21.47,100,20,0.51,ID,1698088973
252,sisimiut,66.9395,-53.6735,-5.28,84,12,4.85,GL,1698088973
253,sinabang,2.4803,96.3801,25.09,88,100,1.81,ID,1698088974
254,kemijarvi,66.7131,27.4306,-8.54,96,35,1.69,FI,1698088745
255,summerside,46.3959,-63.7876,7.28,87,100,7.2,CA,1698088974
256,iskateley,67.6803,53.1512,-5.65,85,27,3.9,RU,1698088974
257,ataq,14.5377,46.8319,23.06,32,8,2.0,YE,1698088974
258,boguchany,58.3814,97.4531,2.94,84,100,7.62,RU,1698088974
259,parabel',58.6978,81.4825,-1.07,87,97,5.09,RU,1698088974
260,pangai,-19.8,-174.35,23.06,64,75,4.63,TO,1698088975
261,hinton,53.4001,-117.5857,-5.01,80,100,3.21,CA,1698088975
262,yuzhno-kurilsk,44.0306,145.8556,8.65,65,6,0.71,RU,1698088975
263,tsiombe,-25.3,45.4833,22.13,71,12,1.83,MG,1698088975
264,ikungi,-5.1333,34.7667,22.78,31,9,3.72,TZ,1698088975
265,raseiniai,55.3736,23.1217,9.81,93,100,3.76,LT,1698088975
266,kizhinga,51.8462,109.9097,1.12,80,10,0.97,RU,1698088975
267,talnakh,69.4865,88.3972,-6.0,82,100,1.24,RU,1698088976
268,ibicui,-14.8417,-39.9867,25.4,67,98,2.56,BR,1698088976
269,ageyevo,54.1588,36.4693,6.15,92,100,6.0,RU,1698088976
270,arang,21.2,81.9667,18.82,66,99,1.86,IN,1698088976
271,torghay,49.6339,63.4981,3.35,59,100,5.24,KZ,1698088976
272,nikel,69.4128,30.222,1.1,94,70,1.83,RU,1698088976
273,eraan,9.0629,117.7016,26.15,85,100,0.97,PH,1698088977
274,vila franca do campo,37.7167,-25.4333,21.05,99,100,7.16,PT,1698088977
275,ternate,0.8,127.4,27.28,79,64,1.99,ID,1698088977
276,agadez,19.75,10.25,27.46,12,0,4.22,NE,1698088977
